title,initiative_url,feedback_url,feedback_count,topic,type_of_act,feedback_period,feedback_start,feedback_end,correct_feedback_url
Fitness Check of the Water Framework Directive and the Floods DirectiveTopicEnvironmentFeedback period17 September 2018 - 12 March 2019,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/1155-Fitness-Check-of-the-Water-Framework-Directive-and-the-Floods-Directive_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/1155-Fitness-Check-of-the-Water-Framework-Directive-and-the-Floods-Directive/feedback,82,Environment,,17 September 2018 - 12 March 2019,2018-09-17,2019-03-12,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/1155-Fitness-Check-of-the-Water-Framework-Directive-and-the-Floods-Directive/feedback_en?p_id=10511
Food labelling - revision of rules on information provided to consumers for alcoholic beveragesTopicFood safetyType of actProposal for a regulationFeedback period13 December 2021 - 07 March 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13028-Food-labelling-revision-of-rules-on-information-provided-to-consumers-for-alcoholic-beverages_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13028-Food-labelling-revision-of-rules-on-information-provided-to-consumers-for-alcoholic-beverages/feedback,82,Food safety,Proposal for a regulation,13 December 2021 - 07 March 2022,2021-12-13,2022-03-07,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13028-Food-labelling-revision-of-rules-on-information-provided-to-consumers-for-alcoholic-beverages/feedback_en?p_id=14726
CO2 emissions from shipping – encouraging the use of low-carbon fuelsTopicTransportType of actProposal for a regulationFeedback period02 July 2020 - 10 September 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12312-CO2-emissions-from-shipping-encouraging-the-use-of-low-carbon-fuels_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12312-CO2-emissions-from-shipping-encouraging-the-use-of-low-carbon-fuels/feedback,81,Transport,Proposal for a regulation,02 July 2020 - 10 September 2020,2020-07-02,2020-09-10,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12312-CO2-emissions-from-shipping-encouraging-the-use-of-low-carbon-fuels/feedback_en?p_id=12951
Waste shipments – revision of EU rulesTopicEnvironmentType of actProposal for a regulationFeedback period07 May 2020 - 30 July 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/7567584-Waste-shipments-revision-of-EU-rules_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/7567584-Waste-shipments-revision-of-EU-rules/feedback,81,Environment,Proposal for a regulation,07 May 2020 - 30 July 2020,2020-05-07,2020-07-30,
Climate change – new rules to prevent methane leakage in the energy sectorTopicEnergyType of actProposal for a regulationFeedback period05 February 2021 - 01 May 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12581-Climate-change-new-rules-to-prevent-methane-leakage-in-the-energy-sector_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12581-Climate-change-new-rules-to-prevent-methane-leakage-in-the-energy-sector/feedback,79,Energy,Proposal for a regulation,05 February 2021 - 01 May 2021,2021-02-05,2021-05-01,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12581-Climate-change-new-rules-to-prevent-methane-leakage-in-the-energy-sector/feedback_en?p_id=14002
Open finance framework – enabling data sharing and third party access in the financial sectorTopicBanking and financial servicesType of actProposal for a regulationFeedback period10 May 2022 - 02 August 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13241-Open-finance-framework-enabling-data-sharing-and-third-party-access-in-the-financial-sector_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13241-Open-finance-framework-enabling-data-sharing-and-third-party-access-in-the-financial-sector/feedback,79,Banking and financial services,Proposal for a regulation,10 May 2022 - 02 August 2022,2022-05-10,2022-08-02,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13241-Open-finance-framework-enabling-data-sharing-and-third-party-access-in-the-financial-sector/feedback_en?p_id=15918
Corporate Sustainability ReportingTopicBanking and financial servicesType of actProposal for a directiveFeedback period20 February 2020 - 11 June 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12129-Corporate-Sustainability-Reporting_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12129-Corporate-Sustainability-Reporting/feedback,78,Banking and financial services,Proposal for a directive,20 February 2020 - 11 June 2020,2020-02-20,2020-06-11,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12129-Corporate-Sustainability-Reporting/feedback_en?p_id=12405
Consumer policy – strengthening the role of consumers in the green transitionTopicConsumersType of actProposal for a directiveFeedback period30 June 2020 - 06 October 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12467-Consumer-policy-strengthening-the-role-of-consumers-in-the-green-transition_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12467-Consumer-policy-strengthening-the-role-of-consumers-in-the-green-transition/feedback,77,Consumers,Proposal for a directive,30 June 2020 - 06 October 2020,2020-06-30,2020-10-06,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12467-Consumer-policy-strengthening-the-role-of-consumers-in-the-green-transition/feedback_en?p_id=13221
State aid in the aviation sector – Commission guidelines on airports and airlines (revision)TopicCompetitionType of actCommunicationFeedback period11 December 2024 - 05 March 2025,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13915-State-aid-in-the-aviation-sector-Commission-guidelines-on-airports-and-airlines-revision-_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13915-State-aid-in-the-aviation-sector-Commission-guidelines-on-airports-and-airlines-revision-/feedback,77,Competition,Communication,11 December 2024 - 05 March 2025,2024-12-11,2025-03-05,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13915-State-aid-in-the-aviation-sector-Commission-guidelines-on-airports-and-airlines-revision-/feedback_en?p_id=18613
"Construction products – review of EU rulesTopicBusiness and industry, Single marketType of actProposal for a regulationFeedback period04 September 2020 - 25 December 2020",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12458-Construction-products-review-of-EU-rules_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12458-Construction-products-review-of-EU-rules/feedback,76,"Business and industry, Single market",Proposal for a regulation,04 September 2020 - 25 December 2020,2020-09-04,2020-12-25,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12458-Construction-products-review-of-EU-rules/feedback_en?p_id=13198
Fluorinated greenhouse gases – review of EU rules (2015-20)TopicClimate actionType of actProposal for a regulationFeedback period15 September 2020 - 29 December 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12479-Fluorinated-greenhouse-gases-review-of-EU-rules-2015-20-_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12479-Fluorinated-greenhouse-gases-review-of-EU-rules-2015-20-/feedback,76,Climate action,Proposal for a regulation,15 September 2020 - 29 December 2020,2020-09-15,2020-12-29,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12479-Fluorinated-greenhouse-gases-review-of-EU-rules-2015-20-/feedback_en?p_id=13237
Gender equality strategy 2020-2024TopicEmployment and social affairsType of actCommunicationFeedback period08 March 2019 - 31 May 2019,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12114-Gender-equality-strategy-2020-2024_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12114-Gender-equality-strategy-2020-2024/feedback,74,Employment and social affairs,Communication,08 March 2019 - 31 May 2019,2019-03-08,2019-05-31,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12114-Gender-equality-strategy-2020-2024/feedback_en?p_id=12384
"Review of the EU school fruit, vegetables and milk scheme - EU aidTopicAgriculture and rural developmentType of actProposal for a regulationFeedback period05 May 2022 - 28 July 2022",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12971-Review-of-the-EU-school-fruit-vegetables-and-milk-scheme-EU-aid_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12971-Review-of-the-EU-school-fruit-vegetables-and-milk-scheme-EU-aid/feedback,74,Agriculture and rural development,Proposal for a regulation,05 May 2022 - 28 July 2022,2022-05-05,2022-07-28,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12971-Review-of-the-EU-school-fruit-vegetables-and-milk-scheme-EU-aid/feedback_en?p_id=14741
"Review of the EU school fruit, vegetables and milk schemeTopicAgriculture and rural developmentType of actProposal for a regulationFeedback period05 May 2022 - 28 July 2022",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12970-Review-of-the-EU-school-fruit-vegetables-and-milk-scheme_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12970-Review-of-the-EU-school-fruit-vegetables-and-milk-scheme/feedback,74,Agriculture and rural development,Proposal for a regulation,05 May 2022 - 28 July 2022,2022-05-05,2022-07-28,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12970-Review-of-the-EU-school-fruit-vegetables-and-milk-scheme/feedback_en?p_id=14741
Trans-European transport network (TEN-T) - revised guidelinesTopicTransportType of actProposal for a regulationFeedback period10 February 2021 - 05 May 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12532-Trans-European-transport-network-TEN-T-revised-guidelines_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12532-Trans-European-transport-network-TEN-T-revised-guidelines/feedback,74,Transport,Proposal for a regulation,10 February 2021 - 05 May 2021,2021-02-10,2021-05-05,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12532-Trans-European-transport-network-TEN-T-revised-guidelines/feedback_en?p_id=13839
Single Market – new complementary tool to strengthen competition enforcementTopicCompetitionType of actProposal for a regulationFeedback period03 June 2020 - 08 September 2020,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12416-Single-Market-new-complementary-tool-to-strengthen-competition-enforcement_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12416-Single-Market-new-complementary-tool-to-strengthen-competition-enforcement/feedback,73,Competition,Proposal for a regulation,03 June 2020 - 08 September 2020,2020-06-03,2020-09-08,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12416-Single-Market-new-complementary-tool-to-strengthen-competition-enforcement/feedback_en?p_id=13124
Tourist services – short-term rental initiativeTopicSingle marketType of actProposal for a regulationFeedback period27 September 2021 - 13 December 2021,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13108-Tourist-services-short-term-rental-initiative_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13108-Tourist-services-short-term-rental-initiative/feedback,71,Single market,Proposal for a regulation,27 September 2021 - 13 December 2021,2021-09-27,2021-12-13,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13108-Tourist-services-short-term-rental-initiative/feedback_en?p_id=15058
